task_id,source,result,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,perplexity,bleu,chrf,rouge_l,codebleu,ast_similarity,codebert_score,bertscore,canon_sloc,canon_cyclomatic,canon_maintainability,canon_halstead_volume,canon_halstead_difficulty,canon_halstead_effort,canon_cognitive,canon_comment_density,canon_api_calls,canon_perplexity,n_output_tokens
HumanEval_60,humaneval,pass,0,,0,,0,2.000,1.000,57.383,4.755,0.500,2.377,0.000,0.000,2.000,2.370,63.405,83.702,90.909,36.600,96.296,97.129,98.028,2.000,1.000,57.383,4.755,0.500,2.377,0.000,0.000,2.000,2.533,115
HumanEval_61,humaneval,pass,1,magic_number,1,magic_number,0,9.000,6.000,66.172,55.351,2.857,158.145,8.000,0.000,2.000,1.873,20.247,38.202,36.364,15.334,47.312,81.349,92.585,10.000,4.000,89.094,47.549,4.000,190.196,6.000,0.000,0.000,2.504,65
HumanEval_62,humaneval,pass,0,,0,,0,3.000,2.000,84.582,4.755,0.500,2.377,0.000,0.000,2.000,3.194,21.640,39.424,57.143,28.742,72.000,88.259,92.573,2.000,2.000,57.211,4.755,0.500,2.377,0.000,0.000,1.000,4.162,39
HumanEval_63,humaneval,pass,1,magic_number,1,magic_number,0,12.000,4.000,64.035,49.829,2.143,106.776,5.000,0.000,1.000,2.145,19.110,33.998,37.931,25.858,51.200,80.719,89.227,8.000,4.000,79.123,86.039,2.667,229.438,4.000,0.000,1.000,2.529,97
HumanEval_64,humaneval,fail,0,,0,,0,,,,,,,,,,2.062,3.218,15.733,16.162,27.367,,65.894,84.068,9.000,4.000,90.574,74.231,3.000,222.693,2.000,0.000,1.000,3.260,512
HumanEval_65,humaneval,fail,0,,0,,0,5.000,2.000,69.410,49.829,3.000,149.487,1.000,0.000,2.000,2.977,27.044,54.960,40.000,25.787,58.065,87.648,91.192,6.000,2.000,87.025,48.432,2.571,124.540,2.000,0.000,2.000,3.112,49
HumanEval_66,humaneval,pass,0,,0,,0,2.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,4.606,26.251,42.094,42.857,14.717,61.538,89.701,91.408,3.000,4.000,57.973,4.755,0.500,2.377,2.000,0.000,3.000,6.955,25
HumanEval_67,humaneval,fail,0,,0,,0,6.000,1.000,69.169,15.510,1.000,15.510,0.000,50.000,2.000,4.416,8.933,25.702,20.513,20.734,45.098,74.126,82.823,6.000,3.000,82.551,4.755,0.500,2.377,3.000,0.000,6.000,4.994,307
HumanEval_68,humaneval,pass,0,,0,,0,13.000,6.000,61.354,85.837,3.545,304.330,6.000,0.000,2.000,2.244,19.608,36.104,30.769,28.062,57.746,79.056,89.860,5.000,3.000,38.630,38.039,1.143,43.473,2.000,0.000,5.000,3.915,101
HumanEval_69,humaneval,fail,0,,0,,0,7.000,3.000,73.706,11.610,1.000,11.610,3.000,0.000,2.000,3.199,3.946,16.684,22.222,11.993,40.777,80.746,90.417,9.000,4.000,89.758,48.432,2.571,124.540,4.000,0.000,3.000,3.094,44
HumanEval_70,humaneval,pass,0,,0,,0,10.000,3.000,100.000,0.000,0.000,0.000,3.000,40.000,4.000,2.345,29.096,41.784,44.000,22.062,58.120,83.811,91.060,7.000,3.000,94.386,8.000,1.000,8.000,3.000,0.000,4.000,3.278,220
HumanEval_71,humaneval,pass,0,,0,,0,7.000,4.000,93.604,239.722,6.263,1501.419,2.000,57.143,2.000,1.940,86.170,80.635,88.235,79.844,92.228,96.854,97.840,7.000,4.000,80.868,262.331,6.857,1798.841,2.000,0.000,1.000,2.866,130
HumanEval_72,humaneval,pass,0,,0,,0,2.000,2.000,50.921,38.054,2.000,76.107,1.000,0.000,1.000,3.309,3.421,13.459,22.222,9.117,19.565,77.593,84.219,10.000,4.000,84.521,66.608,3.750,249.780,4.000,0.000,2.000,3.042,246
HumanEval_73,humaneval,pass,0,,0,,0,9.000,3.000,66.217,62.270,3.429,213.496,3.000,0.000,1.000,2.269,26.228,39.167,40.000,24.535,62.609,83.431,92.262,6.000,3.000,85.550,55.507,2.222,123.348,3.000,0.000,2.000,2.969,68
HumanEval_74,humaneval,fail,0,,0,,0,3.000,4.000,60.087,4.755,0.500,2.377,1.000,0.000,2.000,2.762,4.396,33.222,40.000,13.486,55.172,84.177,85.699,11.000,4.000,91.993,23.265,1.500,34.897,4.000,0.000,1.000,2.575,237
HumanEval_75,humaneval,fail,1,magic_number,1,magic_number,0,19.000,6.000,83.452,147.161,4.125,607.040,20.000,0.000,4.000,2.562,36.500,48.283,50.407,29.747,60.099,85.428,93.734,14.000,8.000,86.567,85.837,2.000,171.673,27.000,0.000,2.000,2.962,207
HumanEval_76,humaneval,pass,0,,0,,0,8.000,5.000,83.611,99.912,7.714,770.749,4.000,0.000,0.000,2.738,30.678,38.815,60.000,36.401,64.444,88.480,93.112,7.000,3.000,83.659,42.110,3.750,157.914,2.000,0.000,0.000,2.900,192
HumanEval_77,humaneval,fail,0,,0,,0,2.000,1.000,51.060,38.039,2.000,76.078,0.000,0.000,1.000,4.621,46.652,50.491,73.684,16.418,78.431,91.365,94.325,3.000,1.000,51.023,38.039,2.000,76.078,0.000,0.000,3.000,4.142,128
HumanEval_78,humaneval,pass,0,,0,,0,3.000,3.000,53.188,4.755,0.500,2.377,0.000,0.000,1.000,4.514,26.486,39.169,46.809,25.983,58.667,82.347,87.330,7.000,3.000,69.004,15.510,1.000,15.510,3.000,0.000,2.000,4.189,353
HumanEval_79,humaneval,pass,0,,0,,0,11.000,3.000,65.360,33.688,5.333,179.671,2.000,0.000,4.000,2.180,0.908,23.256,20.000,36.511,24.096,74.609,81.076,2.000,1.000,51.391,12.000,0.667,8.000,0.000,0.000,1.000,5.054,100
HumanEval_80,humaneval,pass,1,magic_number,1,magic_number,0,7.000,6.000,79.735,133.980,3.500,468.929,5.000,0.000,2.000,2.330,100.000,100.000,97.222,93.137,80.460,99.327,99.529,7.000,6.000,79.735,133.980,3.500,468.929,5.000,0.000,2.000,2.533,190
HumanEval_81,humaneval,fail,0,,0,,0,30.000,,,,,,,0.000,,2.696,31.115,65.254,52.991,56.277,,88.122,86.016,30.000,14.000,79.179,140.648,1.846,259.658,15.000,0.000,1.000,2.672,512
HumanEval_82,humaneval,pass,1,magic_number,1,magic_number,0,9.000,4.000,90.227,41.513,2.286,94.887,4.000,22.222,4.000,2.721,54.833,73.285,68.000,62.045,81.250,91.856,96.235,8.000,5.000,92.268,49.829,2.143,106.776,5.000,0.000,2.000,2.835,164
HumanEval_83,humaneval,fail,0,,0,,0,5.000,2.000,88.926,59.795,2.571,153.758,2.000,60.000,0.000,4.543,45.935,62.184,69.565,63.727,77.551,90.772,92.960,3.000,2.000,93.062,41.513,2.286,94.887,1.000,0.000,0.000,6.271,132
HumanEval_84,humaneval,pass,0,,0,,0,3.000,2.000,100.000,0.000,0.000,0.000,0.000,33.333,4.000,5.993,56.549,70.007,61.538,38.194,87.719,92.106,94.144,2.000,2.000,100.000,0.000,0.000,0.000,0.000,0.000,4.000,6.206,186
HumanEval_85,humaneval,pass,0,,0,,0,2.000,3.000,80.852,15.510,1.000,15.510,0.000,0.000,3.000,5.627,86.614,90.092,100.000,80.803,97.297,99.786,99.353,2.000,3.000,86.982,15.510,1.000,15.510,0.000,0.000,3.000,7.363,60
HumanEval_86,humaneval,fail,0,,0,,0,2.000,2.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,6.560,33.373,50.861,70.000,18.407,79.167,91.865,92.593,2.000,2.000,100.000,0.000,0.000,0.000,0.000,0.000,4.000,6.166,143
HumanEval_87,humaneval,fail,0,,0,,0,8.000,3.000,71.325,11.610,1.000,11.610,3.000,0.000,4.000,1.937,15.826,26.431,36.923,19.082,60.403,82.488,86.997,3.000,4.000,52.140,4.755,0.500,2.377,0.000,0.000,3.000,3.613,83
HumanEval_88,humaneval,fail,0,,0,,0,8.000,2.000,94.123,38.054,2.000,76.107,2.000,25.000,2.000,2.403,26.976,46.674,40.000,20.429,58.140,83.723,87.891,2.000,2.000,50.083,50.189,2.250,112.926,1.000,0.000,2.000,3.943,104
HumanEval_89,humaneval,fail,0,,0,,0,16.000,4.000,87.929,79.954,1.909,152.640,8.000,0.000,5.000,3.077,11.130,38.719,28.205,34.524,49.682,82.407,91.026,9.000,3.000,88.924,66.608,2.667,177.621,4.000,0.000,1.000,4.360,221
HumanEval_90,humaneval,fail,1,magic_number,1,magic_number,0,6.000,2.000,78.015,4.755,0.500,2.377,1.000,0.000,2.000,2.289,41.293,52.430,50.000,22.059,57.692,91.226,91.209,3.000,2.000,69.208,4.755,0.500,2.377,1.000,0.000,3.000,2.678,48
HumanEval_91,humaneval,fail,0,,0,,0,7.000,3.000,93.197,4.755,0.500,2.377,3.000,0.000,3.000,4.558,16.371,48.985,31.579,17.978,39.437,78.374,84.242,4.000,2.000,74.090,4.755,0.500,2.377,0.000,0.000,2.000,5.696,148
HumanEval_92,humaneval,pass,0,,0,,0,2.000,6.000,78.322,110.361,2.923,322.595,2.000,0.000,1.000,2.634,76.318,71.279,81.481,70.812,92.562,93.100,92.168,6.000,7.000,79.653,104.000,3.000,312.000,5.000,0.000,1.000,3.053,53
HumanEval_93,humaneval,fail,0,,0,,0,13.000,4.000,86.158,66.608,1.800,119.894,7.000,15.385,5.000,3.860,7.985,40.131,28.947,21.608,36.986,82.034,83.654,5.000,4.000,72.151,15.510,1.000,15.510,1.000,0.000,5.000,5.190,212
