task_id,system_mode,complexity,domain,action_keyword,intended,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,n_functions,n_stub,longest_body,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,n_output_tokens
duplicated_code_intermediate_007,emphatic,intermediate,Scientific Computing,Measure,duplicate_code,0,,0,,6,5,0,5,37.000,12.000,61.183,72.648,4.000,290.592,4.000,2.703,9.000,573
duplicated_code_advanced_001,emphatic,advanced,General Software,Compare,duplicate_code,2,duplicate_code;magic_number,2,duplicate_code;magic_number,0,8,0,6,55.000,25.000,54.282,187.487,2.500,468.717,16.000,3.636,4.000,885
duplicated_code_advanced_002,emphatic,advanced,E-commerce,Recommend,duplicate_code,1,duplicate_code,1,duplicate_code,0,9,4,4,37.000,28.000,100.000,0.000,0.000,0.000,5.000,0.000,11.000,788
duplicated_code_advanced_003,emphatic,advanced,Finance,Compare,duplicate_code,2,duplicate_code;magic_number,2,duplicate_code;magic_number,4,7,0,5,39.000,14.000,75.100,4.755,0.500,2.377,4.000,7.692,9.000,661
duplicated_code_advanced_004,emphatic,advanced,Healthcare,Analyze,duplicate_code,1,duplicate_code,1,duplicate_code,4,11,0,4,54.000,27.000,100.000,0.000,0.000,0.000,0.000,1.852,14.000,751
duplicated_code_advanced_005,emphatic,advanced,Scientific Computing,Compare,duplicate_code,1,dead_code,1,dead_code,2,6,0,6,35.000,8.000,89.704,4.755,0.500,2.377,4.000,68.571,12.000,698
duplicated_code_advanced_006,emphatic,advanced,General Software,Measure,duplicate_code,2,duplicate_code;magic_number,2,duplicate_code;magic_number,0,8,0,6,55.000,25.000,54.282,187.487,2.500,468.717,16.000,3.636,4.000,885
dead_code_basic_001,emphatic,basic,E-commerce,Implement,dead_code,0,,0,,0,3,3,1,7.000,5.000,100.000,0.000,0.000,0.000,0.000,57.143,0.000,179
dead_code_basic_002,emphatic,basic,Finance,Evaluate,dead_code,1,duplicate_code,1,duplicate_code,0,3,0,3,7.000,3.000,42.499,25.266,1.200,30.319,0.000,0.000,2.000,459
dead_code_basic_003,emphatic,basic,Healthcare,Write,dead_code,0,,0,,0,8,1,5,34.000,20.000,78.432,73.574,2.500,183.936,7.000,2.941,6.000,650
dead_code_basic_004,emphatic,basic,Scientific Computing,Compare,dead_code,0,,0,,4,4,0,1,16.000,7.000,100.000,0.000,0.000,0.000,1.000,37.500,4.000,383
dead_code_basic_005,emphatic,basic,General Software,Write,dead_code,0,,0,,0,5,0,1,14.000,8.000,84.693,4.755,0.500,2.377,2.000,7.143,3.000,388
dead_code_basic_006,emphatic,basic,E-commerce,Report,dead_code,0,,0,,0,3,3,1,7.000,5.000,100.000,0.000,0.000,0.000,0.000,57.143,0.000,185
dead_code_intermediate_001,emphatic,intermediate,Finance,Evaluate,dead_code,0,,1,duplicate_code,9,14,0,3,47.000,24.000,72.184,27.000,1.800,48.600,0.000,14.894,14.000,776
dead_code_intermediate_002,emphatic,intermediate,Healthcare,Recommend,dead_code,0,,0,,10,9,0,2,38.000,23.000,63.547,27.000,1.000,27.000,2.000,2.632,11.000,613
dead_code_intermediate_003,emphatic,intermediate,Scientific Computing,Implement,dead_code,1,duplicate_code,1,duplicate_code,0,9,2,4,38.000,23.000,100.000,0.000,0.000,0.000,0.000,5.263,0.000,527
dead_code_intermediate_004,emphatic,intermediate,General Software,Analyze,dead_code,0,,1,dead_code,6,5,3,1,19.000,7.000,100.000,0.000,0.000,0.000,0.000,26.316,8.000,424
