smell,measure,family,injected_d,injected_lo,injected_hi,real_d,real_lo,real_hi,capped
magic_number,maintainability,structural,0.5368,0.25466628467877156,0.8189337153212286,1.427,1.277543971033083,1.5764560289669172,False
magic_number,halstead_volume,structural,0.2144,-0.06358106145102763,0.49238106145102767,0.894,0.7510449790771937,1.0369550209228064,False
magic_number,halstead_difficulty,structural,0.2151,-0.06288625499840811,0.49308625499840814,1.075,0.9301422090462511,1.219857790953749,False
magic_number,halstead_effort,structural,0.1126,-0.16480541957762831,0.39000541957762835,0.591,0.45048409643090215,0.7315159035690978,False
magic_number,comment_density,structural,-0.0,-0.27718585822512665,0.27718585822512665,-0.118,-0.25667009834625487,0.020670098346254884,False
magic_number,api_calls,structural,-0.0,-0.27718585822512665,0.27718585822512665,-0.804,-0.9461313078890081,-0.661868692110992,False
magic_number,perplexity,fluency,0.4591,0.1782864282709256,0.7399135717290743,-0.337,-0.4762210999387665,-0.19777890006123355,False
magic_number,bleu,similarity,2.4646,2.0969464574512573,2.8322535425487425,,,,False
magic_number,chrf,similarity,2.4158,2.05127043343158,2.78032956656842,,,,False
magic_number,rouge_l,similarity,2.388,2.025233914793568,2.7507660852064317,,,,False
magic_number,codebleu,similarity,4.4824,3.962982344028392,5.0018176559716085,,,,False
magic_number,ast_similarity,similarity,2.628,2.2496338916657574,3.006366108334243,,,,False
magic_number,codebert_score,similarity,3.232,2.8111037019692384,3.652896298030762,,,,False
magic_number,bertscore,similarity,3.4412,3.0046668410604296,3.87773315893957,,,,False
inefficient_loop,sloc,structural,0.2489,-0.029357038403056424,0.5271570384030564,0.762,0.6296940773215542,0.8943059226784458,False
inefficient_loop,cyclomatic,structural,0.0,-0.27718585822512665,0.27718585822512665,1.374,1.234585715459467,1.5134142845405332,False
inefficient_loop,cognitive,structural,0.2141,-0.0638788407977125,0.4920788407977125,1.295,1.1567075480302886,1.4332924519697112,False
inefficient_loop,maintainability,structural,0.0082,-0.26898702309624817,0.28538702309624814,1.035,0.8999825586385415,1.1700174413614584,False
inefficient_loop,halstead_volume,structural,0.0,-0.27718585822512665,0.27718585822512665,0.893,0.7594889708602742,1.026511029139726,False
inefficient_loop,halstead_difficulty,structural,0.0,-0.27718585822512665,0.27718585822512665,1.125,0.9889230256482826,1.2610769743517174,False
inefficient_loop,halstead_effort,structural,0.0,-0.27718585822512665,0.27718585822512665,0.779,0.6465478794021334,0.9114521205978666,False
inefficient_loop,comment_density,structural,-0.0,-0.27718585822512665,0.27718585822512665,-0.013,-0.14202396303529563,0.11602396303529562,False
inefficient_loop,api_calls,structural,-0.2263,-0.5043716401770594,0.051771640177059375,-1.196,-1.332968711716703,-1.0590312882832968,False
inefficient_loop,perplexity,fluency,-0.2665,-0.5449135371870413,0.011913537187041245,-0.527,-0.6576035551304709,-0.39639644486952913,False
inefficient_loop,bleu,similarity,1.5302,1.215049430220791,1.845350569779209,,,,False
inefficient_loop,chrf,similarity,1.4621,1.1500698404294225,1.7741301595705774,,,,False
inefficient_loop,rouge_l,similarity,1.5408,1.2251538107270104,1.8564461892729895,,,,False
inefficient_loop,codebleu,similarity,2.1984,1.8473333789346529,2.549466621065347,,,,False
inefficient_loop,ast_similarity,similarity,1.6726,1.3505750605014575,1.9946249394985427,,,,False
inefficient_loop,codebert_score,similarity,2.3919,2.0288872363146995,2.754912763685301,,,,False
inefficient_loop,bertscore,similarity,2.323,1.9643102402967154,2.6816897597032847,,,,False
perf_try_in_loop,sloc,structural,0.7503,0.46352731534478386,1.037072684655216,0.766,0.6336599535632854,0.8983400464367146,False
perf_try_in_loop,cyclomatic,structural,0.4937,0.21232324903652755,0.7750767509634725,1.106,0.9701533527433535,1.2418466472566467,False
perf_try_in_loop,cognitive,structural,0.667,0.38221110633312966,0.9517888936668704,1.027,0.892072849295135,1.161927150704865,False
perf_try_in_loop,maintainability,structural,0.1604,-0.11723121807289616,0.43803121807289613,1.002,0.867350871302961,1.136649128697039,False
perf_try_in_loop,halstead_volume,structural,0.0,-0.27718585822512665,0.27718585822512665,0.694,0.5622480776315014,0.8257519223684985,False
perf_try_in_loop,halstead_difficulty,structural,0.0,-0.27718585822512665,0.27718585822512665,0.995,0.8604275906854679,1.129572409314532,False
perf_try_in_loop,halstead_effort,structural,0.0,-0.27718585822512665,0.27718585822512665,0.607,0.47588428430600427,0.7381157156939957,False
perf_try_in_loop,comment_density,structural,-0.0,-0.27718585822512665,0.27718585822512665,-0.215,-0.344287402900352,-0.08571259709964801,False
perf_try_in_loop,api_calls,structural,-0.0,-0.27718585822512665,0.27718585822512665,-1.295,-1.4332924519697112,-1.1567075480302886,False
perf_try_in_loop,perplexity,fluency,-0.0473,-0.32452461458744963,0.22992461458744962,-0.351,-0.48072651058798016,-0.2212734894120198,False
perf_try_in_loop,bleu,similarity,2.8301,2.437984058523451,3.2222159414765486,,,,False
perf_try_in_loop,chrf,similarity,2.7161,2.3318050335837848,3.100394966416215,,,,False
perf_try_in_loop,rouge_l,similarity,2.8889,2.492687282146522,3.2851127178534782,,,,False
perf_try_in_loop,codebleu,similarity,3.0813,2.671402072873307,3.4911979271266933,,,,False
perf_try_in_loop,ast_similarity,similarity,2.9405,2.540658315628548,3.3403416843714524,,,,False
perf_try_in_loop,codebert_score,similarity,3.6489,3.1964575379113493,4.101342462088651,,,,False
perf_try_in_loop,bertscore,similarity,5.0,,,,,,True
broad_except,sloc,structural,0.6391,0.35492621097075117,0.9232737890292488,0.658,0.56442813699671,0.75157186300329,False
broad_except,cyclomatic,structural,0.6423,0.3580569290533892,0.9265430709466107,0.734,0.6398461700566395,0.8281538299433605,False
broad_except,cognitive,structural,0.3793,0.09963285323806809,0.658967146761932,0.668,0.5743549948418616,0.7616450051581385,False
broad_except,maintainability,structural,0.0994,-0.1779569739116722,0.3767569739116722,1.191,1.0921393642790327,1.2898606357209674,False
broad_except,halstead_volume,structural,0.0,-0.27718585822512665,0.27718585822512665,0.593,0.4998779268529915,0.6861220731470085,False
broad_except,halstead_difficulty,structural,0.0,-0.27718585822512665,0.27718585822512665,0.9,0.8043702234471873,0.9956297765528127,False
broad_except,halstead_effort,structural,0.0,-0.27718585822512665,0.27718585822512665,0.538,0.4452234828232119,0.6307765171767882,False
broad_except,comment_density,structural,-0.0,-0.27718585822512665,0.27718585822512665,0.019,-0.07215343956547197,0.11015343956547198,False
broad_except,api_calls,structural,-0.0,-0.27718585822512665,0.27718585822512665,-1.013,-1.1097899237162796,-0.9162100762837202,False
broad_except,perplexity,fluency,-0.2204,-0.49842612366581673,0.05762612366581668,-0.379,-0.47096147620556383,-0.2870385237944362,False
broad_except,bleu,similarity,2.5597,2.1858577558376258,2.933542244162374,,,,False
broad_except,chrf,similarity,2.5349,2.16268420806199,2.90711579193801,,,,False
broad_except,rouge_l,similarity,2.5646,2.1904353690838216,2.9387646309161783,,,,False
broad_except,codebleu,similarity,2.2974,1.9402972681663722,2.6545027318336283,,,,False
broad_except,ast_similarity,similarity,2.5492,2.1760474416186324,2.9223525583813674,,,,False
broad_except,codebert_score,similarity,3.7483,3.288119788826638,4.208480211173362,,,,False
broad_except,bertscore,similarity,4.4179,3.90381699182171,4.931983008178291,,,,False
long_parameter_list,sloc,structural,0.0,-0.27718585822512665,0.27718585822512665,0.354,0.264507939196178,0.443492060803822,False
long_parameter_list,cyclomatic,structural,0.0,-0.27718585822512665,0.27718585822512665,0.541,0.4505915503764984,0.6314084496235017,False
long_parameter_list,cognitive,structural,0.0,-0.27718585822512665,0.27718585822512665,0.444,0.3541135522536715,0.5338864477463285,False
long_parameter_list,maintainability,structural,-0.0,-0.27718585822512665,0.27718585822512665,0.832,0.7394405711825232,0.9245594288174768,False
long_parameter_list,halstead_volume,structural,0.0,-0.27718585822512665,0.27718585822512665,0.555,0.46450800037151835,0.6454919996284818,False
long_parameter_list,halstead_difficulty,structural,0.0,-0.27718585822512665,0.27718585822512665,0.862,0.7691705495756089,0.954829450424391,False
long_parameter_list,halstead_effort,structural,0.0,-0.27718585822512665,0.27718585822512665,0.406,0.31629070750335664,0.4957092924966434,False
long_parameter_list,comment_density,structural,-0.0,-0.27718585822512665,0.27718585822512665,-0.135,-0.22390073996312912,-0.0460992600368709,False
long_parameter_list,api_calls,structural,-0.0,-0.27718585822512665,0.27718585822512665,-0.708,-0.7995376827683948,-0.6164623172316052,False
long_parameter_list,perplexity,fluency,-0.3804,-0.6600814951916555,-0.10071850480834454,-0.409,-0.4987227147824932,-0.31927728521750676,False
long_parameter_list,bleu,similarity,3.869,3.399323704830657,4.338676295169344,,,,False
long_parameter_list,chrf,similarity,2.757,2.36991800016534,3.1440819998346603,,,,False
long_parameter_list,rouge_l,similarity,3.1958,2.7775668426648124,3.614033157335188,,,,False
long_parameter_list,codebleu,similarity,4.9325,4.375280960281327,5.489719039718673,,,,False
long_parameter_list,ast_similarity,similarity,2.7781,2.389571839354674,3.1666281606453257,,,,False
long_parameter_list,codebert_score,similarity,4.6705,4.1354023185613675,5.205597681438632,,,,False
long_parameter_list,bertscore,similarity,4.8826,4.329617836067889,5.435582163932111,,,,False
mutable_default,sloc,structural,0.0,-0.27718585822512665,0.27718585822512665,0.124,0.015752747579569182,0.23224725242043082,False
mutable_default,cyclomatic,structural,0.0,-0.27718585822512665,0.27718585822512665,0.177,0.06865773253511145,0.28534226746488855,False
mutable_default,cognitive,structural,0.0,-0.27718585822512665,0.27718585822512665,0.324,0.21522017165473037,0.4327798283452696,False
mutable_default,maintainability,structural,-0.0,-0.27718585822512665,0.27718585822512665,0.213,0.10457418008084064,0.32142581991915936,False
mutable_default,halstead_volume,structural,0.0,-0.27718585822512665,0.27718585822512665,0.198,0.08961086024630698,0.30638913975369303,False
mutable_default,halstead_difficulty,structural,0.0,-0.27718585822512665,0.27718585822512665,0.302,0.1933018617118125,0.41069813828818746,False
mutable_default,halstead_effort,structural,0.0,-0.27718585822512665,0.27718585822512665,0.059,-0.04917635225158175,0.16717635225158173,False
mutable_default,comment_density,structural,-0.0,-0.27718585822512665,0.27718585822512665,-0.987,-1.100816976709973,-0.8731830232900271,False
mutable_default,api_calls,structural,-0.0,-0.27718585822512665,0.27718585822512665,-0.59,-0.7002119747669271,-0.4797880252330728,False
mutable_default,perplexity,fluency,0.3914,0.11157277689288342,0.6712272231071166,-0.512,-0.6217077787547407,-0.4022922212452593,False
mutable_default,bleu,similarity,2.3899,2.0270137674366246,2.752786232563375,,,,False
mutable_default,chrf,similarity,2.3363,1.976781584595782,2.695818415404218,,,,False
mutable_default,rouge_l,similarity,2.3458,1.985687966801219,2.705912033198781,,,,False
mutable_default,codebleu,similarity,2.0411,1.6992767696998345,2.3829232303001655,,,,False
mutable_default,ast_similarity,similarity,2.4539,2.086934485929754,2.820865514070246,,,,False
mutable_default,codebert_score,similarity,3.4229,2.987750817174569,3.8580491828254306,,,,False
mutable_default,bertscore,similarity,5.0,,,,,,True
dead_code,sloc,structural,0.213,-0.06497072485425512,0.4909707248542551,-0.032,-0.1539923751051914,0.0899923751051914,False
dead_code,cyclomatic,structural,0.0,-0.27718585822512665,0.27718585822512665,0.04,-0.08199573902836013,0.16199573902836012,False
